list,,headword,nonprimary sense,number,lemma,pronunciation,nonstandard_variant,variants,word_class,class_added_manually,type,spoken_words,language_origin,domain,definition,info,example_sentence,etymology,derivative_forms,multi-word_forms,proverb,idiom,definition_type_1,definition_type_2
kw,,jambalaya,,,,,,,noun,,,,,,"hidangan nasi yang dimasak dengan cara mencampur daging, sayuran, atau boga bahari dan rempah-rempah dalam satu panci, diunyai hingga matang, rasanya pedas",,,,,,,,Analitical,
kwantitas,,jangko,,,,,,,noun,,,,Melayu Jambi,,"alat untuk meraut daun pandan, terbuat dari kepingan seng yang bertangkai kayu",,,,,,,,Analitical,
kwarran,,jaramba,,,,,,,noun,,,,Batak,,"bangunan berbentuk panggung, tempat mengolah masakan pada saat pesta",,,,,,,,Analitical,
kwartir cabang,,jasmerah,,,,/jasmêrah/,,,noun,,acronym,,,,jangan sekali-kali meninggalkan sejarah (semboyan yang diucapkan oleh Soekarno),,,,,,,,Abbreviation Expansion,Analitical
kwartir daerah,,jatanras,,,,,,,noun,,acronym,,,,kejahatan dan kekerasan,,,,,,,,Abbreviation Expansion,
kwartir nasional,,jataruparajata patiggahana veramani sikhapadam samadiyami,,,,,,,adjective,yes,figurative,,Sanskerta,,bertekad untuk melatih diri dengan menghindari menerima emas dan perak (uang) (tentang dasasila dalam agama Buddha),,,,,,,,Analitical,
kwartir ranting,,jawab-jinawab,,,jawab,,,,verb,,,,,,saling berjawab; jawab-menjawab,,"setelah ~, sidang dilanjutkan dengan agenda pembuktian dari pihak masing-masing",,,,,,Analitical,Synonym
kyai,,jebul,,,,/jêbul/,,,noun,,,,Dayak,,botol-botol kecil untuk menyimpan guna-guna atau obat,,daun-daunan yang diracik menjadi obat dimasukkan ke --,,,,,,Analitical,
laban,,jenong,,,,/jênong/,,,adjective,,,,,,menonjol ke depan (tentang dahi dan sebagainya),,,,,,,,Analitical,
laboratorium forensik,,jepa,,,,,,,noun,,,,,,"penganan yang terbuat dari sagu yang dicampur dengan gula merah atau pasir, parutan kelapa muda, dipanggang di atas wajan dengan cara ditekan supaya padat dan pipih",,,,,,,,Analitical,
labu Jepang,,jetha,,,,,,,noun,,,,,,bulan ke-6 tahun Buddhis (bulan Mei--Juni tahun Masehi),,,,,,,,Analitical,
laci,,jibrut,,,,,,,noun,,,,Sunda,,kesenian tradisional dengan iringan bunyi dari tepukan tangan di ketiak dan belakang dengkul,,,,,,,,Analitical,
lagar,,jjs,,,,,,,verb,,abbreviation,yes,,,jalan-jalan sore,,kami -- di sekitar Jakarta,,,,,,Abbreviation Expansion,
laku keras,,joenan,,,,/joènan/,,,noun,,,,,,bambu untuk rel tali pancing,,,,,,,,Analitical,
lampu tidur,,jong,yes,2,,,,,noun,,,,Melayu Belitung,,tiruan perahu sebagai sarana upacara selamatan laut masyarakat Bangka Belitung,,Suku Sawang sedang membuat -- untuk upacara Muang Jong,,,,,,Analitical,
landas peraga,,jotos runjam,,,jotos,,,,noun,yes,,,,Olahraga,pukulan dengan ayunan tangan ke atas (tentang olahraga tinju),,,,,,,,Analitical,
Langkanae,,juara harapan,,,juara (1),,,,noun,yes,,,,,juara yang meraih gelar di bawah tiga besar,,,,,,,,Analitical,
lantoyung,,julien,,,,,,,noun,,,,,Tata Boga,potongan tipis panjang seperti korek api,,,,,,,,Analitical,
lantung,,jumat agung,,,Jumat,,,,noun,yes,,,,Agama Kristen,"hari Jumat dalam rangkaian Prapaskah, minggu ketujuh, sebagai peringatan penyaliban Yesus Kristus di Golgota",,,,,,,,Analitical,
Lao Tse,,jumat agung,,,Jumat,,,,noun,yes,,,,Agama Katolik,"hari Jumat terakhir Prapaskah, diisi dengan liturgi untuk memperingati wafatnya Yesus",,,,,,,,Analitical,
Lao Tzu,,jurnal kas,,,jurnal,,,,noun,yes,,,,Keuangan,"jurnal yang mencatat kronologis transaksi kas, catatan dimasukkan ke dalam buku besar kas",,,,,,,,Analitical,
Laozi,,juru bahasa isyarat,,,juru (1),,,,noun,yes,,,,,orang yang kerjanya menerjemahkan bahasa penutur ke bahasa isyarat,,,,,,,,Analitical,
lapan,,juru langsir,,,juru (1),,,,noun,yes,,,,Transportasi,orang yang bertugas melangsir di stasiun,,,,,,,,Analitical,
lapang pandang,,jutek,,,,,,,adjective,,,yes,,,judes,,,,,,,,Synonym,
late,,kabur-kaburan,,,kabur (2),,,,verb,,,yes,,,kabur berkali-kali,,dia terkesan ~ dari panggilan aparat,,,,,,Analitical,
lawan kata,,kabus,yes,2,,,,,noun,,,,,,"gerbong yang dirangkaikan di ujung kereta untuk operator kereta, seperti juru rem",,,,,,"hilang kabus, teduh hujan",,Analitical,
lawan main,,kacingcalang,,,,,,,adjective,,,,Sunda,,"telur yang tidak tererami, sehingga gagal menetas",,,,,,,,Analitical,
legig,,kadalan kembang,,,,/ka.da.lan kêm.bang/,,,noun,,,,,,"burung sejenis bubut, tubuh bagian atas berwarna abu-abu, bagian bawah berwarna merah karat, paruh berwarna merah karang dengan ekor panjang dan ujung ekor bagian dalam berwarna putih seperti undakan, pemakan serangga, berhabitat di hutan dan kebun, tersebar di Semenanjung Malaysia dan Indonesia (Sumatra, Kalimantan, dan Jawa)",〔Zanclostomus javanicus〕,,,,,,,Analitical,Encyclopedic
lek,,kadu,,,,,,,noun,,,,Tolaki,,tas yang dibuat dari kain (perca),,,,,,,,Analitical,
leka,,kaduaya,,,,,,,noun,,,,Toraja,,burung gagak,,,,,,,,Synonym,
leker,,kafamatai,,,,,,,noun,,,,Muna,,"upacara tabur bibit pertama, bertujuan agar tanaman tumbuh subur dan berhasil, tidak diganggu hama dan penyakit",,,,,,,,Analitical,
lembar kerja,,kahohon,,,,,,,noun,,,,,,tali yang terbuat dari kulit kayu,,,,,,,,Analitical,
lembatang,,kahuripan,,,,,,,noun,,,,,,kerajaan Hindu-Buddha di Jawa Timur yang didirikan pada tahun 1019 Masehi oleh Airlangga,,,,,,,,Analitical,
lembing,,kain baki,,,kain,,,,noun,yes,,,,Tata Boga,"kain yang ditaruh pada baki, biasanya kain
flanel, untuk menjaga agar baki tidak licin dan menyerap cairan atau minuman yang tumpah di atas baki",,,,,,,,Analitical,
lemiding,,kain pelayan,,,kain,,,,noun,yes,,,,Tata Boga,"kain putih yang disampirkan di lengan pelayan, digunakan untuk melindungi tangan dari paparan panas hidangan dan menjaga kebersihan tangan",,,,,,,,Analitical,
lengkeng merah,,kaji ulang,,,,,,,noun,,,,,,pengkajian ulang terhadap sesuatu yang telah dihasilkan,,,,,,,,Analitical,
lidi-lidian,,kak,,,,,,,noun,,abbreviation,,,,kerangka acuan kerja,,,,,,,,Abbreviation Expansion,
liger,,kaku mayat,,,kaku,,,,noun,yes,,,,,"kekakuan pada mayat, biasanya terjadi beberapa jam setelah kematian dan berlangsung hingga beberapa hari",,,,,,,,Analitical,
limbah domestik,,kalaarum,,,,,,,noun,,,,Sunda,,anak perempuan yang mempunyai bentuk jengger ayam pada bagian tubuhnya dan dipercaya bersifat cerewet pada suami,,,,,,,,Analitical,
lit,,kalangan,,,,,,,noun,,,,Melayu Jambi,,pasar yang beroperasi pada hari-hari tertentu saja,,,,,,,,Analitical,
litas,,kalazion,,,,,,,noun,,,,,,benjolan kecil pada kelopak mata; bintitan,,,,,,,,Analitical,Synonym
literati,,kalinjing,,,,,,,noun,,,,,,jari kelingking,,,,,,,,Synonym,
longan,,kalobe,,,,,,,noun,,,,Toraja,,"labu yang berbuah keras dan berleher kecil, biasanya dijadikan sebagai tempat tuak atau air minum",,,,,,,,Analitical,
longgo,,kambatu,,,,,,,noun,,,,Tolaki,,dendeng dari daging kerbau atau rusa,,,,,,,,Analitical,
losap,,kanape,,,,,,,noun,,,,,,"makanan pembuka yang terdiri atas selapis roti, roti panggang, atau biskuit kecil dan makanan asin (keju, kaviar, dan sebagainya) di atasnya",,,,,,,,Analitical,
loti,,kancing baju,,,kancing,,,,noun,yes,,,,,benik,,,,,,,,Synonym,
luluran,,kandang baterai,,,kandang,,,,noun,yes,,,,,"kandang yang menyerupai sangkar, berbentuk kotak panjang dengan sekat pada ukuran tertentu, biasa digunakan pada peternakan ayam petelur",,,,,,,,Analitical,
luso,,kanister,,,,/kanistêr/,,,noun,,,,,,"wadah berbentuk bulat atau silinder yang kokoh, biasanya terbuat dari logam atau plastik untuk menampung makanan atau bahan kimia",,,,,,,,Analitical,
Mabad,,kanjuruhan,,,,,,,noun,,,,,,kerajaan Hindu di Jawa Timur yang didirikan pada abad ke-8 Masehi dengan Gajayana sebagai rajanya yang paling terkenal,,,,,,,,Analitical,
Mabims,,kapanewon,,,,/kapanêwon/,,,noun,,,,,,wilayah atau daerah yang dipimpin oleh panewu,,,,,,,,Analitical,
macancan,,kapeh,,,,,,,verb,,,,Melayu Kalimantan,,menyusun papan untuk membuat perahu mulai dari lunas hingga mencapai ketinggian tertentu,,,,,,,,Analitical,
Magasira,,kapibara,,,,,,,noun,,,,,,"mamalia pengerat terbesar kedua, tergolong hewan semiakuatik, sebagian besar ditemukan di Amerika Selatan bagian utara dan tengah",〔Hydrochoerus hydrochaeris〕,,,,,,,Analitical,
Maha,,kapuan,,,,,,,noun,,,,,,"kotak yang terbuat dari perunggu untuk menyimpan barang, seperti perhiasan, uang, dan bahan untuk menyirih",,,,,,,,Analitical,
makaroni keju,,kara,yes,2,,,,,noun,,,,Toraja,,"perhiasan yang dibuat dari kulit kerang, berbentuk bundar dengan bagian tengah berlubang, biasanya dipasang pada baju, perisai besar, atau topi yang dipakai penari perang pada pesta kematian",,,,,,,,Analitical,
makrab,,kartun politik,,,kartun,,,,noun,yes,,,,,kartun editorial,,,,,,,,Synonym,
mamandapan,,kasai,yes,4,,,,,noun,,,,Sunda,,sabun dari daun-daunan yang dilumatkan,,,,,,,,Analitical,
mana kala,,kasbon,,,,,,,noun,,,,,,dana pinjaman yang disediakan oleh perusahaan sebagai fasilitas bagi karyawan untuk mengambil sebagian gaji bulanan lebih awal sebelum waktu penerimaan gaji,,,,,,,,Analitical,
Mandalika,,kaseda,,,,,,,noun,,,,Toraja,,kain merah yang biasa dipakai pada pesta kematian atau pada acara persembahan kepada dewata,,,,,,,,Analitical,
Mandalika,,kata dengung,,,kata (1),,,,noun,yes,,,,,"kata kunci, biasanya berupa kata teknis, yang trendi dan telah banyak digunakan untuk memberikan kesan baik, penting, atau khusus",,,,,,,,Analitical,
mangaruho,,katalog penerbit,,,katalog,,,,noun,yes,,,,Ilmu Perpustakaan dan Dokumentasi,katalog yang berisi daftar buku yang diterbitkan oleh penerbit untuk dijual,,,,,,,,Analitical,
manhaj,,kaus wangki,,,kaus (1),,,,noun,,,,,Tata Busana,kaus polo,,,,,,,,Synonym,
manusia perak,,kebakaran jenggot,,,"bakar, kebakaran",,,,verb,yes,,,,,→ kebakaran janggut,,,,,,,,Cross-reference,
manusia silver,,keberhargaan,,,harga,,,,noun,,,,,,perihal berharga,,,,,,,,Analitical,
manusia tercepat di dunia,,kecipul,,,,/kêcipul/,,,verb,,,,Melayu Belitung,,tidak membayarkan hak orang lain,,sang mandor -- hingga para kuli mogok kerja,,,,,,Analitical,
marabahaya,,kecipul,,,,/kêcipul/,,,verb,,,,Melayu Belitung,,menggelapkan uang,,ketua panitia -- hingga kegiatan batal dilaksanakan,,,,,,Analitical,
marasi,,kecorong,,,,,,,noun,,,,Melayu Jambi,,serunai yang terbuat dari batang padi dengan corong dari daun kelapa,,,,,,,,Analitical,
mardihuta,,kecuwis,,,,/kêcuwis/,,,noun,,,,Jawa,,bunga jengkol,,,,,,,,Synonym,
margitik,,kedang,yes,3,,/kêdang/,,,noun,,,,Melayu Belitung,,"penampakan bulan antara sabit dan purnama, terjadi pada malam ketujuh atau kedelapan",,,,,,,,Analitical,
martarombo,,kedemang,,,,,,,noun,,,,,,gelar kepemimpinan untuk orang yang menangani hubungan orang Kubu dengan orang luar,,,,,,,,Analitical,
mastektomi ganda,,kedokteran veteriner,,,"dokter, kedokteran",,,,noun,yes,,,,,ilmu kedokteran hewan,,,,,,,,Analitical,
mastektomi tunggal,,kegenitan,,,genit,,,,noun,,,,,,kecentilan,,,,,,,,Synonym,
mata hari,,kegenitan,,,genit,,,,adjective,,,yes,,,terlalu genit,,,,,,,,Analitical,
mata susan,,kekerasan seksual,,,"keras (1), kekerasan",,,,noun,yes,,,,,segala bentuk tindakan terkait dengan hasrat seksual seseorang yang dilakukan secara paksa kepada orang lain,,,,,,,,Analitical,
Mataram Kuno,,kelas embun,,,kelas (1),,,,noun,yes,idiomatic expression,,,,pelacur berbayar rendah karena melacur di ruang terbuka atau beralaskan rumput,,,,,,,,Analitical,
matrioska,,kelengku,,,,,,,noun,,,,,,lesung yang  terbuat dari kayu,,,,,,,,Analitical,
megohm,,kelupas,,,kupas,,,,verb,,,,,,lepas kulit,,,,,,,,Analitical,
melantung,,kelupas,,,,/kêlupas/,,,verb,yes,,,,,→ kupas,,,,"kelupasan, mengelupas, mengelupaskan, pengelupas, pengelupasan, terkelupas",,,,Cross-reference,
melembut,,kembar buncing,,,kembar,,,,noun,yes,,,,,kembar dampit,,,,,,,,Synonym,
melempengkan,,kemeja pantai,,,kemeja,,,,noun,yes,,,,,kemeja hawai,,,,,,,,Synonym,
memandai diri,,kemilat,,,kilat (1),,,,noun,,,,,,kilatan; kilauan,,puluhan burung bangau meluncur senyap menyusuri ~ kaca sungai ke utara,,,,,,Synonym,
memantas-mantas diri,,kemilat,,,kilat (1),,,,verb,,,,,,berkilat; berkilau,,"sayap yang dahulu ~ dalam igauku, kini hanya angan dalam pikiranmu",,,,,,Synonym,
membagi-bagi,,ken arok,,,,,,,noun,,,,,,raja pertama Singasari yang memerintah pada tahun 1222--1227 Masehi,,,,,,,,Analitical,
membarikade,,kendaraan berat,,,"kendara, kendaraan",,,,noun,yes,,,,,"kendaraan yang memiliki 6 roda atau lebih dgn muatan beban 3,5 ton atau lebih",,,,,,,,Analitical,
membengkok-bengkokkan,,kendaraan ringan,,,kendara,,,,noun,yes,,,,,"kendaraan bermotor dengan dua as berjarak 2--3 m dan empat roda yang meliputi mobil penumpang, opelet, mikrobus, dan truk kecil",,,,,,,,Analitical,
membentak-bentak,,kendaraan takbermotor,,,kendara,,,,noun,yes,,,,,"kendaraan dengan roda yang digerakkan oleh manusia atau hewan, meliputi sepeda, becak, kereta kuda, dan kereta dorong",,,,,,,,Analitical,
membuang tabiat,,kentang tumbuk,,,kentang,,,,noun,yes,,,,Tata Boga,"hidangan terbuat dari kentang rebus, ditumbuk hingga lembut, biasanya ditambahkan mentega dan susu untuk memperkaya rasa",,,,,,,,Analitical,
membujetkan,,kepelbagaian,,,bagai (1),,,,noun,,,,,,hal atau keadaan berbagai-bagai atau beraneka macam,,,,,,,,Analitical,
membungkuk-bungkukkan,,kepengin,,,,,,,adverb,,,yes,,,ingin,,aku -- menengok nenek karena ia sedang sakit,,,,,,Synonym,
membungkukkan,,kepergian awal,,,"pergi, kepergian",,,,noun,yes,,,,Perhotelan,kepergian tamu meninggalkan hotel sebelum waktu yang ditentukan; kepulangan awal,,,,,,,,Analitical,Synonym
memenggal-menggal,,kepulangan awal,,,"pulang, kepulangan",,,,noun,yes,,,,Perhotelan,kepergian awal,,,,,,,,Synonym,
memosting,,kerangka acuan kerja,,,rangka (2),,,,noun,yes,,,,,"dokumen perencanaan kegiatan yang memuat perincian latar belakang, tujuan, pelaksanaan, pelaksana, biaya, dan sebagainya; KAK",,,,,,,,Analitical,Abbreviation Expansion
memperumit,,kereta merta,,,kereta,,,,noun,yes,,,,,mobil jenazah,,,,,,,,Synonym,
menavigasi,,keridaan,,,rida,,,,noun,,,,,,perihal rida,,,,,,,,Analitical,
mencadari,,kerjasama,,,,/kêrjasama/,,,noun,yes,,,,,→ kerja sama,,,,,,,,Cross-reference,
mencakar-cakar,,kertajaya,,,,/Kêrtajaya/,,,noun,,,,,,raja terakhir Kediri yang memerintah pada tahun 1200--1222 Masehi,,,,,,,,Analitical,
mencandai,khemaá¹,kertanegara,,,,/Kêrtanêgara/,,,noun,,,,,,raja terakhir Singasari yang memerintah pada tahun 1272--1292 Masehi,,,,,,,,Analitical,
mendapuk,,khilafah,,,,,,,noun,,,,Arab,,kekhalifahan,,,,,,,,Synonym,
mendebatkan,,khilafah,,,,,,,noun,,,,Arab,,"kepemimpinan secara umum dan luas, baik dalam urusan agama maupun dunia sebagai pengganti kepemimpinan Nabi Muhammad saw.",,,"{'kelas': ['n', 'sg', 'f'], 'bahasa': 'Arab', 'asal_kata': 'خِلَافَةٌ', 'pelafalan': 'khilāfah', 'arti': ['kepemimpinan']}",,,,,Analitical,
menensi,,kia,,,,,,,noun,,abbreviation,,,,kartu identitas anak (kartu identitas yang digunakan untuk anak berusia di bawah 17 tahun),,,,,,,,Abbreviation Expansion,Analitical
mengaba-aba,,kitab terasul,,,kitab,,,,noun,yes,,,,Filologi,panduan menulis surat-menyurat Melayu,,,,,,,,Analitical,
mengafkir,,kkn,yes,2,,,,,noun,,abbreviation,,,,"korupsi, kolusi, dan nepotisme",,,,,,,,Abbreviation Expansion,
mengageti,,klasiring,,,,,,,noun,,,,,,penentuan kelas dan batas tanah,,,,,,,,Analitical,
mengaidahkan,,klatan,,,,,,,noun,,,,Jawa,,penyajian gending secara mandiri dan tidak berkaitan dengan bentuk kesenian yang lain,,,,,,,,Analitical,
mengeataskan,,kluwer,,,,/kluwêr/,,,verb,,,,Jawa,,muncul dan berbelok tiba-tiba,,kecelakaan sering terjadi di persimpangan ketika pengendara -- dari gang,,,,,,Analitical,
mengeataskan,,knalpot brong,,,knalpot,,,,noun,yes,,,,,knalpot yang tidak dilengkapi tabung peredam atau partisi sehingga menghasilkan suara bising,,,,,,,,Analitical,
mengebawahkan,,koasuransi,,,,,,,noun,,,,,,pertanggungan yang dilaksanakan secara bersama-sama oleh beberapa perusahaan asuransi atas suatu objek asuransi tertentu,,,,,,,,Analitical,
mengedukasi,,kode pos,,,kode,,,,noun,yes,,,,,rangkaian angka atau huruf yang ditambahkan pada alamat pos untuk memfasilitasi penyortiran dan pengiriman surat,,,,,,,,Analitical,
mengeksisi,,kodu-kodu,,,,,,,noun,,,,Wolio,,"wadah yang terbuat dari buah maja kering, digunakan sebagai tempat menyimpan air",,,,,,,,Analitical,
mengguna-guna,,kohando,,,,,,,noun,,,,,,"wadah berukuran kecil terbuat dari pelepah sagu, biasanya berbentuk tabung, digunakan untuk membawa barang (tomat, rambutan, dan lain-lain)",,,,,,,,Analitical,
mengimpersonasi,,kolab,,,,,,,noun,,shorten form,yes,,,kolaborasi,,,,,,,,Synonym,
mengingat-ingat,,kolam pusaran,,,kolam,,,,noun,yes,,,,Perhotelan,"kolam kecil untuk berendam, menggunakan sirkulasi air yang cepat dan berputar",,,,,,,,Analitical,
mengodor,,kolektibilitas,,,,/kolèktibilitas/,,,noun,,,,,Keuangan,kekolektifan,,,,,,,,Synonym,
mengompresi,,kolrabi,,,,,,,noun,,,,,,"sayuran sejenis kubis dengan bentuk umbi bulat, dipanen saat musim semi",,,,,,,,Analitical,
menjungkirkan,,komputer tablet,,,komputer,,,,noun,yes,,,,,komputer genggam yang dioperasikan melalui layar sentuh atau pena digital; komputer genggam,,,,,,,,Analitical,Synonym
menopause bedah,,komunitas bahasa,,,komunitas,,,,noun,yes,,,,,kelompok atau kumpulan orang yang meminati dan berkecimpung dalam bidang bahasa,,,,,,,,Analitical,
menopause medis,,konci,,,,,,,noun,yes,,,,,→ kunci,,,,,,,,Cross-reference,
menraktir,,konsom,,,,,,,noun,,,,,Tata Boga,"sup bening yang terbuat dari kaldu dan
sayuran ditambah daging cincang dan putih telur, dihidangkan dengan atau tanpa hiasan",,,,,,,,Analitical,
menraktor,,kopi saring,,,kopi (1),,,,noun,yes,,,,,"kopi khas Aceh, dibuat dengan cara disaring berkali-kali menggunakan saringan kain berbentuk kerucut",,,,,,,,Analitical,
menransfer,,kota baja,,,kota (1),,,,noun,yes,,,,,sebutan untuk Kota Cilegon,,,,,,,,Analitical,
menransformasi,,kota bawang,,,kota (1),,,,noun,yes,,,,,sebutan untuk Kota Brebes,,,,,,,,Analitical,
menransformasikan,,kota intan,,,kota (1),,,,noun,yes,,,,,sebutan untuk Kota Martapura,,,,,,,,Analitical,
menransmisikan,,kota kretek,,,kota (1),,,,noun,yes,,,,,sebutan untuk Kota Kudus,,,,,,,,Analitical,
menransplantasikan,,kota mangga,,,kota (1),,,,noun,yes,,,,,sebutan untuk Kota Indramayu,,,,,,,,Analitical,
mensabotase,,kota proklamator,,,kota (1),,,,noun,yes,,,,,sebutan untuk Kota Blitar,,,,,,,,Analitical,
mentawan,,kota seribu sungai,,,kota (1),,,,noun,yes,,,,,sebutan untuk Kota Banjarmasin,,,,,,,,Analitical,
mentega leleh,,kota telur asin,,,kota (1),,,,noun,yes,,,,,sebutan untuk Kota Brebes,,,,,,,,Analitical,
menua,,kota wali,,,kota (1),,,,noun,yes,,,,,sebutan untuk Kota Demak,,,,,,,,Analitical,
menyangka-nyangka,,kotabi,,,,,,,noun,,,,Sahu,,buku yang mencatat adat istiadat di bagian pulau Halmahera yang dikuasai oleh kesultanan Ternate,,,,,,,,Analitical,
meput lesung,,kreol haiti,,,kreol,,,,noun,yes,,,,,bahasa yang dituturkan di Haiti,,,,,,,,Analitical,
merawang,,krim dingin,,,krim,,,,noun,yes,,,,,krim yang digunakan untuk mendinginkan kulit,,,,,,,,Analitical,
miliyar,,kriptologi,,,,,,,noun,yes,,,,,ilmu tentang cara atau praktik mengenkripsi dan mendekripsi informasi,,,,,,,,Analitical,
mime,,kromatik,,,,,,,adjective,,,,,,berwarna,,,,,,,,Synonym,
minapolitan,,krone,,,,/kronê/,,,noun,,,,,,satuan mata uang Denmark dan Norwegia,,,,,,,,Analitical,
mincid,,kuas alis,,,kuas (1),,,,noun,yes,,,,Tata Rias,"kuas kecil dengan sudut miring, lurus, atau bulat, berbulu kaku, digunakan untuk membentuk alis",,,,,,,,Analitical,
minyak cabai,,kuasisewa,,,,/kuasisèwa/,,,verb,yes,,,,Ekonomi dan Keuangan,"sewa menyewa properti selain tanah, misalnya sewa beli mesin untuk perusahaan industri yang dibiayai oleh lembaga pembiayaan",,,,,,,,Analitical,
minyak gosok,,kuda pelana,,,kuda,,,,noun,yes,,,,,→ kuda-kuda pelana,,,,,,,,Cross-reference,
misbar,,kudungga,,,,,,,noun,,,,,,raja pertama Kutai yang memerintah pada abad ke-4 Masehi,,,,,,,,Analitical,
mitigasi bencana,,kue,,,,,,,noun,,abbreviation,,,,"kartu uang elektronik (kartu dengan cip yang berisi uang elektronik, biasa digunakan untuk transaksi dengan menempelkan kartu pada alat pembaca transaksi)",,,,,,,,Abbreviation Expansion,Analitical
mobil hiper,,kue balok,,,kue,,,,noun,yes,,,,,"kue tradisional khas Jawa Barat yang berbentuk menyerupai balok, terbuat dari bahan utama terigu, telur, gula, dan susu, dapat dipanggang maupun dikukus, bertekstur menyerupai bolu, tetapi lebih padat, tersaji dalam berbagai rasa",,,,,,,,Analitical,
mobil listrik,,kue mangkok,,,kue,,,,noun,yes,,,,,→ kue mangkuk,,,,,,,,Cross-reference,
mobil super,,kue satu,,,kue,,,,noun,yes,,,,,"kue yang dibuat dari tepung kacang hijau dan gula yang dicetak satu-satu dan dijemur hingga padat, bertekstur keras, berwarna putih, dan rasanya manis gurih",,,,,,,,Analitical,
mondokaki,,kufi,,,,,,,noun,,,,,Filologi,"salah satu bentuk kaligrafi Arab tertua, berasal dari Kuah pada abad ke-7",,,,,,,,Analitical,
monev,,kuker,,,,/kukêr/,,,noun,yes,acronym,,,,kue kering,,,,,,,,Abbreviation Expansion,
monggo,,kulopu,,,,,,,noun,,,,Wolio,,tali atau kain yang dibakar untuk mengusir nyamuk,,,,,,,,Analitical,
morfografi,,kuna,yes,2,,,,,noun,,,,,,satuan mata uang Kroasia,,,,,,,,Analitical,
morfoleksikal,,kunefe,,,,,,,noun,,,,,,"penganan yang biasa ditemukan di Timur Tengah, dibuat dari keju leleh yang disiram sirup, biasanya disajikan dengan bubuk atau taburan pistacio cincang, bertekstur renyah di luar dan lembut di dalam",,,,,,,,Analitical,
morfoleksikon,,kunggumo,,,,,,,adjective,,,,Tolaki,,tidak bisa bergerak karena takut,,,,,,,,Analitical,
morfometri,,kuning pucat,,,kuning,,,,adverb,yes,,,,,kuning yang tidak terang; campuran warna kuning dan putih,,,,,,,,Analitical,
morfosintaksis,,kunting,,,,,,,adjective,,,,Jawa,,kondisi kurang gizi kronis yang ditandai dengan tubuh pendek pada anak balita (di bawah usia 5 tahun),,anak dikatakan mengalami -- apabila tinggi badan dan panjang tubuhnya minus dua berdasarkan standar deviasi median,,,,,,Analitical,
morganatik,,kupang jawa,,,kupang (2),,,,noun,yes,,,,,kupang merah,,,,,,,,Synonym,
MRT,,kurleb,,,,/kurlêb/,,,adverb,,acronym,yes,,,kurang lebih,,,,,,,,Abbreviation Expansion,
mule,,kursut,,,,,,,noun,,,,Jawa,,penggaris yang terbuat dari kayu (peranti tukang kayu),,peranti tradisional yang sudah jarang dijumpai dan masih digunakan oleh tukang kayu adalah --,,,,,,Analitical,
munan,,kutek,,,,,,,noun,yes,,,,,→ kuteks,,,,,,,,Cross-reference,
mutanajis,,kuti,yes,3,,,,,noun,,,,,Agama Buddha,tempat tinggal para biksu dan biksuni di lingkungan wihara,,,,,,,,Analitical,
naira,,kw,yes,3,,,,,adjective,,,yes,,,palsu dan berkualitas jelek,,barang -- biasanya murah,,,,,,Analitical,
namo dhammāya,,kwantitas,,,,,,,noun,yes,,,,,→ kuantitas,,,,,,,,Cross-reference,
narsum,,kwarran,,,,,,,noun,,acronym,,,,kwartir ranting,,,,,,,,Abbreviation Expansion,
nasabah debitur,,kwartir cabang,,,kwartir,,,,noun,yes,,,,,kwartir tingkat kabupaten atau kota,,,,,,,,Analitical,
nasi gonjleng,,kwartir daerah,,,kwartir,,,,noun,yes,,,,,kwartir tingkat provinsi,,,,,,,,Analitical,
Nay Pyi Taw,,kwartir nasional,,,kwartir,,,,noun,yes,,,,,kwartir tingkat nasional,,,,,,,,Analitical,
nektonik,,kwartir ranting,,,kwartir,,,,noun,yes,,,,,kwartir tingkat kecamatan,,,,,,,,Analitical,
neli,,kyai,,,,,,,noun,yes,,,,,→ kiai (1),,,,,,,,Cross-reference,
Nichiren Daishonin,,kālena dhammasākacchā,,,,,,,verb,yes,figurative,,Sanskerta,,membahas darma pada saat yang sesuai (tentang salah satu cara meraih berkah kehidupan yang terdapat dalam maṅgala sutta agama Budha),,,,,,,,Analitical,
nirpidana,,laban,,,,,,,noun,,,,,,"pohon yang tingginya mencapai 25 m, bunga dalam malai berwarna putih dan ungu, buah bulat berwarna hitam keunguan, kayu sangat kuat dan tahan lama sehingga banyak digunakan dalam pembuatan mebel, daun berbentuk elips yang dilapisi bulu berwarna hijau kekuningan, secara turun temurun digunakan oleh suku Dayak sebagai obat disentri",〔Vitex quinata〕,,,,laban abang,,,Analitical,Encyclopedic
nyamu,,laboratorium forensik,,,laboratorium,,,,noun,yes,,,,,laboratorium yang digunakan untuk mengolah data-data forensik,,,,,,,,Analitical,
onkolog,,laboratorium kriminal,,,laboratorium,,,,noun,yes,,,,,laboratorium yang digunakan oleh kepolisian untuk memeriksa bukti dalam pemecahan kasus,,,,,,,,Analitical,
ordonator,,labu jepang,,,labu (1),,,,noun,yes,,,,,kaboca,,,,,,,,Synonym,
orkestrator,,laci,yes,2,,,,,verb,,,,Sunda,,membersihkan rumput dengan cara membuat saluran utk menyimpan rumput,,,,,,,,Analitical,
Oseania,,lagar,,,,,,,verb,,,,Sunda,,mengendarai kuda tanpa pelana,,,,,,,,Analitical,
ovāda pātimokkha,,laku keras,,,laku,,,,adjective,yes,,,,,sangat laku; laris manis,,,,,,,,Synonym,
