list,,headword,nonprimary sense,number,lemma,pronunciation,nonstandard_variant,variants,word_class,class_added_manually,type,spoken_words,language_origin,domain,definition,info,example_sentence,etymology,derivative_forms,multi-word_forms,proverb,idiom,definition_type_1,definition_type_2
,,usai,yes,2,,,,,noun,,,,Alune,,kulit buah pala,,,,,,,,Analitical,
,,venison,,,,,,,noun,,,,,,"daging hewan buruan yang dimakan, seperti rusa dan kijang",,,,,,,,Analitical,
,,vikalabhojana veramani sikhapadam samadiyami,,,,,,,verb,yes,figurative,,Sanskerta,,bertekad untuk melatih diri menghindari makan setelah tengah hari (tentang dasasila agama Buddha),,,,,,,,Analitical,
,,viktimisasi,,,,,,,noun,,,,,Hukum,tindakan memperlakukan seseorang sebagai korban,,,,,,,,Analitical,
,,vinaya pitaka,,,,,,,noun,,,,,Agama Buddha,"bagian pertama dari kitab suci Tripitaka, terdiri atas tiga bagian, berisi hal yang berkenaan dengan peraturan bagi para biksu dan biksuni",,,,,,,,Analitical,
,,wagasyi,,,,,,,noun,,,,Jepang,,"camilan manis khas Jepang, dibuat dalam berbagai bentuk, dari berbagai bahan, dan dengan berbagai metode pembuatan, misalnya moci dan dango, biasanya disantap bersama dengan maca",,,,,,,,Analitical,
,,weling,yes,2,,/wêling/,,,noun,,,,Sunda,,domba berbulu belang hitam dan putih,,,,,,,,Analitical,
,,wide,,,,,,,noun,,,,Sunda,,"alat penangkap ikan dari bambu yang dianyam jarang, caranya diletakkan di air deras",,,,,,,,Analitical,
,,wido,,,,,,,noun,,,,Sunda,,ayam berbulu hijau dan merah,,,,,,,,Analitical,
,,widya,,,,,,,noun,,,,Sanskerta,,pengetahuan,,,,,,,,Synonym,
,,wiyata kinarya,,,wiyata,,,,noun,yes,,,,,"pengembangan kompetensi pegawai suatu institusi melalui pemelajaran strategis yang selaras dengan nilai-nilai, misi, dan kebutuhan institusi",,,,,,,,Analitical,
,,wowa,,,,,,,noun,,,,Minahasa Tonsea,,"tradisi makan siang di acara perkawinan orang Tonsea yang ketika kegiatan makan usai, para undangan membawa pulang makanan yang sudah diatur dan disediakan beserta alat makan yang dipakai saat makan",,tamu yang hadir di acara -- merasa sangat puas atas suguhan dan pelayanan keluarga besar Yansen,,,,,,Analitical,
,,wta,,,,,,,noun,,,,,,Asosiasi Tenis Wanita; dari Women’s Tennis Association,,,,,,,,Analitical,Synonym
